W_speed
270
290
50
270
270
50
20
290
290
270
290
320
290
270
270
50
270
290
20
70
290
290
50
50
290
290
50
290
50
270
70
70
270
320
290
270
20


290
70
70
70
70
70
50
50
50
50
50
270
270
290
290
290
270
50
270
70
270
290
290
270
290
290
270
270
290
270
250
20
70
270
230
230
230
270
70
290
270
250
250
230
230
250
250
250
70
70
270
250
270
270
290
270
250
230
270
270
250
270
290
70
270
270
230
50
50
70
70
290
270
290
270
50
270
50
70
50
50
250
230
270
230
250
230
50
250
270
70
70
230
250
270
270
270
290
250
270
270
270
270
230
270
160
250
230
270
250
290
250
270
70
70
70
70
50
270
250
290
70
20
50
230
270
270
270
250
270
250
290
70
50
50
250
270
270
270
270
200
270
270
290
50
70
270
140
270
270
70
290
250
230
250
250
230
270
250
230
270
270
230
230
230
70
160
230
200
50
180
230
50
70
70
70
50
230
270
270
70
70
50
270
270
50
50
270
290
50
70
70
20
50
250
230
50
70
70
70
50
50
70
50
50
70
70
270
250
290
50
270
270
270
70
50
70
70
270
290
270
70
50
70
50
50
70
50
70
70
270
50
20
70
70
270
270
70
70
70
50
50
320
70
70
70
70
50
50
270
20
50
50
70
70
50
70
50
50
230
270
270
50
50
70
270
270
270
270
270
290
270
20
290
50
50
270
290
20
290
20
320
290
50
50
50
200
50
50
70
70
50
70
70
70
290
270
270
290
290
290
50
290
290
200
290
270
290
50
70
290
290
270
70
290
290
50
50
20
270
270
20
50
50
270
290
